,problem_id,problem_code,assistment_id,problem_set_id,problem_set_type,problem_set_name,curriculum,grade_or_subject,unit,link,skill_codes,skill_names,problem_type,problem_body,attempts,correct_count,percent_correct,first_cwa,first_cwa_count,second_cwa,second_cwa_count,third_cwa,third_cwa_count,answer
397653,2011612.0,PRABSYKT,1390862.0,PSABS7TF,"Ready, Set, Go","Alg2.5 Lesson 5E Just Act Rational (HSA-APR.D.7(+), HSA-SSE.B.3)",Open Up Resources,Algebra 2,Unit 5 - Rational Functions and Expressions,https://app.assistments.org/find/lv/lesson/361595/1397795,"HSA.APR.D.7, HSA.SSE.B.3a","Add, Subtract, Mulitply & Divide Rational Expressions, Factor a Quadratic Expression to Find Zeros",numeric,"<p>Use&nbsp;<img id=""mce_1"" class=""Wirisformula"" src=""/pluginwiris_engine/app/showimage?formula=3ff436440e766d904db5be706b6fd93b&amp;cw=111&amp;ch=35&amp;cb=23"" width=""111"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;g&laquo;/mi&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mrow&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;/mrow&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" />.</p>
<p>&nbsp;</p>
<p>Write the equations of the asymptotes.</p>
<p>&nbsp;</p>
<p>vertical:&nbsp;<img id=""mce_2"" class=""Wirisformula"" style=""max-width: none; vertical-align: -4px;"" src=""/pluginwiris_engine/app/showimage?formula=c7c01b4e98db653340cf3ce0825b84cc&amp;cw=66&amp;ch=13&amp;cb=9"" width=""66"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;/math&raquo;"" /></p>",15.0,11.0,73.3,0,4.0,,,,,-5
338036,2010596.0,PRABSX4Z,1390403.0,PSABTPN4,"Ready, Set, Go","Math III.4 Lesson 2E Shift and Stretch (HSA-CED.A.2, HSF-BF.B.3, HSF-IF.C.7, HSF-IF.C.7.d(+))",Open Up Resources,Math III,Unit 4 - Rational Functions and Expressions,https://app.assistments.org/find/lv/lesson/363112/1412075,"HSA.SSE.A.2, HSA.SSE.B.3a","Factor a Quadratic Expression to Find Zeros, Rewrite Expressions using Common Structures",algebra,"<p>Write an equivalent form of the function.&nbsp;</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -4px;"" src=""/pluginwiris_engine/app/showimage?formula=e2155f925529f9497048da2bd2097a1b&amp;cw=103&amp;ch=18&amp;cb=14"" width=""103"" height=""18"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;f&laquo;/mi&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#8201;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;/math&raquo;"" /></p>",,,,,,,,,,(x - 8)(x - 3)(x - 3)
456244,2010661.0,PRABSX53,1390436.0,PSABS7QD,"Ready, Set, Go","Alg2.5 Lesson 3E Rational Thinking (HSA-CED.A.2, HSF-IF.B.5, HSF-IF.C.7, HSF-IF.C.7.d(+))",Open Up Resources,Algebra 2,Unit 5 - Rational Functions and Expressions,https://app.assistments.org/find/lv/lesson/361597/1397700,HSF.IF.C.7d,Graph Rational Functions,numeric,"<p>Equation of the leftmost vertical asymptote:</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -4px;"" src=""/pluginwiris_engine/app/showimage?formula=34cb8af9b3f77a686e24b71d2eb33ced&amp;cw=86&amp;ch=13&amp;cb=9"" width=""86"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;menclose notation=&uml;bottom&uml;/&raquo;&laquo;/math&raquo;"" /></p>",17.0,14.0,82.4,1,2.0,-6.25,2.0,,,-6
437302,1799570.0,PRABNSQB,1266041.0,PSABD5WQ,,16.2 Mean Absolute Deviation: Independent Practice (6.SP.5c),Textbook Curricula,Houghton-Mifflin-Harcourt,Go Math Middle School,https://app.assistments.org/find/lv/lesson/333091/1038482,,,numeric,<p>What was the MAD at the end? Round to one decimal place.</p>,,,,,,,,,,2.1
236625,1142988.0,PRA47X7,772331.0,PSAS68V,,Problem 1.3 Raising Money,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329166/473729,,,choose_1,"<p>Page 13 #C3</p>
<p>Is it?</p>",40.0,28.0,70.0,No,11.0,,,,,Yes
141130,1790456.0,PRABNJ4J,1259693.0,PSABDY67,,Unit 3: Assessment Readiness,Textbook Curricula,Houghton-Mifflin-Harcourt,Go Math Middle School,https://app.assistments.org/find/lv/lesson/333095/1033940,,,choose_1,"<p>Page 229 #2</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",,,,,,,,,,"D. 1,500 centimeters"
446,1146054.0,PRA4972,774496.0,PSATAH9,,8.1 Circumference,Textbook Curricula,Glencoe McGraw-Hill,Grade 7: Course 2 (2015),https://app.assistments.org/find/lv/lesson/328861/476903,,,choose_1,"<p>Page 618 #18</p>
<p>Is the relationship a direct variation?</p>",,,,,,,,,,Yes
141613,1760024.0,PRABMV2G,1239448.0,PSABDAH5,Practice Problems,"Alg1.6 Lesson 15 Vertex Form (HSF-BF.B.3, HSF-IF.C, HSF-IF.C.7.a)",Kendall Hunt Illustrative Mathematics,Algebra 1,Unit 6 - Introduction to Quadratic Functions ,https://app.assistments.org/find/lv/lesson/358270/1013137,HSF.BF.B.3,Identify the Effect of a Graph after Changes to a Function,open_response,"<p>Describe what would happen to the graph if the original equation were modified as follows:</p>
<p>&nbsp;</p>
<p><img class=""Wirisformula"" style=""max-width: none; vertical-align: -3px;"" src=""/pluginwiris_engine/app/showimage?formula=03f94db1b9ca1e19302f146e0fe71eb0&amp;cw=63&amp;ch=19&amp;cb=16"" width=""63"" height=""19"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;y&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;msup&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/msup&raquo;&laquo;/math&raquo;"" /></p>
<div id=""simple-translate"">&nbsp;</div>",1836.0,102.0,5.6,,,,,,,
53198,1992077.0,PRABSMS2,1380484.0,PSABS26E,Practice Problems (Section C),5.7 Section C Practice Problems: Numerical Patterns,Kendall Hunt Illustrative Mathematics,Grade 5,Unit 7 - Shapes on the Coordinate Plane,https://app.assistments.org/find/lv/lesson/360875/1393330,5.OA.B.3,Generate & Identify Patterns Resulting from Two Given Rules,open_response,"<p>List the first ten numbers starting at 0 and counting by 5s.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&copy; 2021 <a class=""waffle-rich-text-link"" href=""https://illustrativemathematics.org/"">Illustrative Mathematics&reg;</a>. All Rights Reserved.</p>",3.0,0.0,0.0,,,,,,,
193663,1422445.0,PRABCTNC,998822.0,PSA4N77,,10-3 Mean Absolute Deviation,Textbook Curricula,Glencoe McGraw-Hill,Grade 7: Accelerated (2014),https://app.assistments.org/find/lv/lesson/328883/756242,,,numeric,"<p>Pg 449 #1</p>
<p><br />Find the mean absolute deviation.</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Do not include units (rose petals) in your answer.</span></p>",,,,,,,,,,9.8
265338,417620.0,PRAJCKS,240544.0,PSABKKF,,(5.NF.A.1) Add/Subtract Proper Fractions Skill Builder,Skill Builders,Grade 5,(NF) Number and Operations - Fractions ,https://app.assistments.org/find/lv/lesson/328776/38724,"5.NF.A.1-1, 5.NF.A.1-2","Add Proper Fractions with Unlike Denominators, Subtract Proper Fractions with Unlike Denominators",fill_in_1,"<p>Find the sum:</p>
<p>&nbsp;</p>
<table id=""_mc_tmp"" border=""0"" align=""center"">
<tbody>
<tr>
<td></td>
<td align=""center""><sub>1</sub><br /> 
<hr />
<p><sup>3</sup></p>
</td>
<td id=""_mc_tmp"" align=""center"">&nbsp;+&nbsp;</td>
<td></td>
<td align=""center""><sub>1</sub><br /> 
<hr style=""-webkit-text-decorations-in-effect: none;"" />
<p><sup>4</sup></p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>Answers must be in the form of a <em><strong><span style=""text-decoration: underline;"">reduced proper fraction</span></strong></em> (example 2/7) or a <em><strong><span style=""text-decoration: underline;"">mixed number</span></strong></em> with a space between the whole number and the fraction (example 3 5/8)</p>
<p>&nbsp;</p>",193.0,110.0,57.0,2/12,32.0,1/12,24.0,2/7,22.0,7/12
345704,1331353.0,PRABABFT,924653.0,PSAZPB9,Homework,"4.5 Lesson 38  (4.NF.B.4.A, 4.NF.B.4.B)",EngageNY/Eureka Math (© by Great Minds®) *,Grade 4,"Module 5 - Fraction Equivalence, Ordering, and Operations",https://app.assistments.org/find/lv/lesson/357452/666995,4.NF.B.4b,Multiply a Fraction by a Whole Number,numeric,"<p>Multiply. Use the distributive property.</p>
<p><img src=""/images/assistments/92260.jpg"" alt="""" /></p>
<p>&nbsp;</p>
<p style=""font-size: 10px; text-align: right;"">Modified from <a href=""https://www.engageny.org/"" target=""_blank"" rel=""noopener noreferrer"">EngageNY</a> &copy;Great Minds <a href=""https://new.assistments.org/curricula/great-minds"" target=""_blank"" rel=""noopener noreferrer"">Disclaimer</a></p>",1111.0,573.0,51.6,48 2/7,31.0,48,26.0,6,16.0,49 5/7
205124,1595149.0,PRABGYPV,1122838.0,PSA9B94,,1-5 Descriptive Modeling and Accuracy,Textbook Curricula,Glencoe McGraw-Hill,HS: Algebra I (2018),https://app.assistments.org/find/lv/lesson/328830/895646,,,numeric,"<p>Page 36 #1</p>
<p>&nbsp;</p>
<p>How many got an A?</p>",,,,,,,,,,2
384505,594428.0,PRAPNN4,368429.0,PSACXE8,,(3.MD.B.3) Bar Graph Skill Builder,Skill Builders,Grade 3,(MD) Measurement & Data,https://app.assistments.org/find/lv/lesson/367225/78955,3.MD.B.3,Draw & Apply Knowledge of Bar & Pictures Graphs,numeric,"<p>Jose decided to open his own music store to sell instruments and teach lessons. He plotted the first six years sales of his guitars and drum sets, on a bar graph, shown below.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/34574.jpg"" alt="""" /></p>
<p>&nbsp;</p>
<p>How many guitars did he sell in the 6th year?</p>
<p>&nbsp;</p>
<p>Do not include units (guitars) in your answer.</p>",46.0,23.0,50.0,19,7.0,241,2.0,52,2.0,38
129646,935562.0,PRAXZEE,617090.0,PSAMZC8,,3.2 Writing Expressions,Textbook Curricula,Big Ideas Learning,Grade 6: Green (2014),https://app.assistments.org/find/lv/lesson/328646/319143,,,old_algebra,"<p>Page 122 #22</p>
<p>Episodes&nbsp;after season 5.</p>",97.0,93.0,95.9,85,1.0,,,,,95
91558,882455.0,PRAWTDR,581512.0,PSAKSAH,,5.5-5.7 Quiz,Textbook Curricula,Big Ideas Learning,Grade 6: Green (2014),https://app.assistments.org/find/lv/lesson/328644/282541,,,old_algebra,"<p>Page 238 #14</p>
<p>Do NOT label your answer.</p>",108.0,58.0,53.7,60,9.0,52,7.0,13,6.0,39
364765,930844.0,PRAXWAM,614089.0,PSAMWT2,, Chapter 1 Test,Textbook Curricula,Big Ideas Learning,Grade 6: Green (2014),https://app.assistments.org/find/lv/lesson/328648/316688,,,old_algebra,"<p>Page 48 #15</p>
<p>Find the GCF.</p>",175.0,116.0,66.3,3,13.0,13,4.0,8,4.0,6
114086,1935379.0,PRABRCB2,1342571.0,PSABQNFE,,Grade 7 Percent More or Less - Round 1,EngageNY/Eureka Math (© by Great Minds®) *,Grade 7,Fluency Support,https://app.assistments.org/find/lv/lesson/358790/1321534,6.RP.A.3c-2,Use Percent to Find the Whole ,numeric,"<p>What is 115% of 80?</p>
<p>&nbsp;</p>
<p style=""font-size: 10px; text-align: right;"">Modified from <a href=""https://www.engageny.org/"" target=""_blank"" rel=""noopener noreferrer"">EngageNY</a> &copy;Great Minds <a href=""https://new.assistments.org/curricula/great-minds"" target=""_blank"" rel=""noopener noreferrer"">Disclaimer</a></p>",137.0,102.0,74.5,12,3.0,112,2.0,95,2.0,92
427073,1280821.0,PRA8WCN,882271.0,PSAXQMQ,,(F.BF.B.5) Logarithmic Equations Skill Builder,Skill Builders,High School: Functions,(BF) Building Functions,https://app.assistments.org/find/lv/lesson/367192/608636,HSF.BF.B.5,Apply Knowledge of Inverse Relationship of Exponents & Logarithms to Solve Problems ,old_algebra,"<p>Solve for x&nbsp;</p>
<p>&nbsp;</p>
<p>log<sub>2</sub>(3+4x) = log<sub>2</sub>(11x)</p>",4.0,3.0,75.0,,,,,,,0.428571428571429
95689,1872918.0,PRABP75J,1308735.0,PSABHUKQ,Student Facing Tasks,7.1 Lesson 5 The Size of the Scale Factor (7.G.A.1),Kendall Hunt Illustrative Mathematics,Grade 7,Unit 1 - Scale Drawings,https://app.assistments.org/find/lv/lesson/350443/1148687,7.G.A.1,Solve Scale Drawing Problems,numeric,"<p>Triangle B is a scaled copy of Triangle A with scale factor <img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=6f1c8e0b8a382018cd45e3f7c4666ecf&amp;cw=18&amp;ch=35&amp;cb=23"" width=""18"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" />.</p>
<p>&nbsp;</p>
<p>Imagine you scale Triangle B by a scale factor of <img class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=6f1c8e0b8a382018cd45e3f7c4666ecf&amp;cw=18&amp;ch=35&amp;cb=23"" width=""18"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" /><span id=""MathJax-Element-24-Frame"" class=""MathJax_SVG"" style=""font-size: 100%; display: inline-block;"" tabindex=""0""></span><span id=""MathJax-Element-24-Frame"" class=""MathJax_SVG"" style=""font-size: 100%; display: inline-block;"" tabindex=""0""></span> to get Triangle C. How many times bigger will the side lengths of Triangle C be when compared with Triangle A?</p>
<p>&nbsp;</p>
<p>Do not include units (times) in your answer.</p>",166.0,110.0,66.3,1/2,28.0,2,16.0,0,4.0,1/4
458083,1942081.0,PRABBZ5V,975278.0,PSA28YU,Problem Set,"Algebra II, M2, Lesson 14 (F.IF.7.e)",EngageNY/Eureka Math (© by Great Minds®) *,Algebra II,Module 2 - Functions and Trigonometric Ratios,https://app.assistments.org/find/lv/lesson/357942/713730,HSF.TF.C.8,"Prove the Pythagorean Identity and Use it to Find Sine, Cosine, & Tangent",numeric,"<p><img src=""/images/assistments/457594.jpg"" alt="""" width=""445"" height=""269"" /></p>
<p>&nbsp;</p>
<p>Fill in the highlighted cell.</p>
<p>&nbsp;</p>
<p>Round your answer to the nearest two decimal places.</p>",12.0,12.0,100.0,,,,,,,1.00
42580,2023562.0,PRABS6KT,1396628.0,PSABS8Z6,Unit Assessment,Alg2.1 Unit 1 Assessment,Open Up Resources,Algebra 2,Unit 1 - Functions and their Inverses,https://app.assistments.org/find/lv/lesson/362477/1398964,HSF.IF.A.1,Understand Domain & Range of Functions,fill_in_ignore_case,"<p>Give the range.</p>
<p><span style=""font-weight: 400;"">Write your answer in the following format:</span></p>
<p><span style=""font-weight: 400;"">(a,b) or [a,b] with no spaces.</span></p>
<p><span style=""font-weight: 400;"">Use inf to represent &infin;</span></p>
<p><span style=""font-weight: 400;"">Use -inf to represent -&infin;</span></p>",61.0,27.0,44.3,"(0,inf)",16.0,"(inf,0)",6.0,"(-3,inf)",6.0,"(-inf,inf)"
202862,1513073.0,PRABEYHH,1063090.0,PSA67M9,,3.2 Relations and Functions,Textbook Curricula,Holt McDougal Littell,HS: Holt Algebra I (2012),https://app.assistments.org/find/lv/lesson/328917/831605,,,choose_1,<p>Page 175 #33</p>,,,,,,,,,,G
185761,1009982.0,PRAZVP6,673099.0,PSAPMK5,,5.5 Slope,Textbook Curricula,Big Ideas Learning,Grade 7: Red (2014),https://app.assistments.org/find/lv/lesson/328634/367407,,,choose_1,<p>Page 197 #15</p>,9.0,9.0,100.0,,,,,,,"I did not make a graph., I made a graph and it was difficult., I made a graph and it was easy."
99683,2005316.0,PRABSVP8,1388085.0,PSABVPBK,Practice Problems (Section A),"2.7 Section A Practice Problems: Add and Subtract within 1,000 without Composition or Decomposition",Open Up Resources,Grade 2,"Unit 7 - Adding and Subtracting Within 1,000",https://app.assistments.org/find/lv/lesson/366295/1471331,2.NBT.B.7,"Add & Subtract Within 1,000 Using Place Value Strategies",open_response,"<p>Show your reasoning.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Submit your work using the tools below.</p>",,,,,,,,,,
47003,2036525.0,PRABTDQF,1403468.0,PSABT3AS,Student Facing Tasks,Alg1+.4 Lesson 13 Number Line Distances (7.NS.A.1.c),Kendall Hunt Illustrative Mathematics,Algebra 1 Supports,Unit 4 - Functions,https://app.assistments.org/find/lv/lesson/363558/1423256,7.NS.A.1c,Understand Properties of Subtracting Rational Numbers,numeric,"<p>Evaluate mentally: How far away is the house from the school?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/488714.jpg"" alt="""" width=""736"" height=""190"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Do not include units (units) in your answer.</span></p>",1.0,0.0,0.0,8,1.0,,,,,7
193785,1809023.0,PRABNYJT,1271667.0,PSABEKBU,Homework,"1.6 Lesson 15 -  (1.NBT.4, 1.NBT.6)",EngageNY/Eureka Math (© by Great Minds®) *,Grade 1,"Module 6 - Place Value, Comparison, Addition and Subtraction to 100",https://app.assistments.org/find/lv/lesson/356519/1051382,1.NBT.C.4,Add Within 100 Using Place Value Strategies,open_response,"<p>58 + 27 = ____</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Draw your drawing on paper, take a picture, and upload it using the image upload icon&nbsp;<img src=""/images/assistments/100953.jpg"" alt="""" width=""34"" height=""29"" /></span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">If you do not have the ability to upload an image of your work, type ""Drawing is on paper.""</span></p>",606.0,476.0,78.5,,,,,,,
232983,1988877.0,PRABSH6P,1377962.0,PSABVQS3,Practice Problems (Section B),3.7 Section B Practice Problems: What is Perimeter?,Open Up Resources,Grade 3,Unit 7 - Two-Dimensional Shapes and Perimeter,https://app.assistments.org/find/lv/lesson/366454/1472741,3.MD.D.8,Solve Word Problems Involving Perimeter of Polygons,numeric,"<p>Find the perimeter of each shape.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/470734.jpg"" alt="""" width=""276"" height=""131"" /></p>
<p>&nbsp;</p>
<p>Do not include units in your answer.</p>",19.0,11.0,57.9,12,9.0,3/2,9.0,thers  20,9.0,20
66141,639657.0,PRAQQ73,400668.0,PSAEYSA,, 7-6 Growth and Decay,Textbook Curricula,Glencoe McGraw-Hill,"HS: Algebra I (2012,2014)",https://app.assistments.org/find/lv/lesson/328837/139810,,,old_algebra,"<p>page 434 #10</p>
<p>&nbsp;</p>
<p>Round your answer to the nearest cent.</p>",33.0,27.0,81.8,3964.9,1.0,3964.33,1.0,5062.50,1.0,"$3,964.93"
353786,1631526.0,PRABHTEA,1147558.0,PSABHWMP,Cool Down,6.4 Lesson 1 Size of Divisor and Size of Quotient (6.NS.A),Kendall Hunt Illustrative Mathematics,Grade 6,Unit 4 - Dividing Fractions,https://app.assistments.org/find/lv/lesson/351113/1150639,6.NS.A.1,Interpret & Compute Division of Fractions,choose_1,"<p>Without computing, decide whether the value of each expression is much smaller than 1, close to 1, or much larger than 1.</p>
<p>&nbsp;</p>
<p><span id=""MathJax-Span-470"" class=""mrow""><span id=""MathJax-Span-471"" class=""mn""><img class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=f385c3a458fd57382921c2bcf5dc7b47&amp;cw=84&amp;ch=35&amp;cb=23"" alt=""50 space divided by space 50 1 fourth"" width=""84"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;50&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#247;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;50&laquo;/mn&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;4&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" /></span></span></p>",4983.0,3507.0,70.4,much larger than 1,2316.0,much smaller than 1,2034.0,,,close to 1
42191,1929569.0,PRABQ86U,1339527.0,PSABM6VS,Student Facing Tasks,Acc7.4 Lesson 16 How Many Solutions? (8.EE.C.7.a),Kendall Hunt Illustrative Mathematics,Grade 7 Accelerated,"Unit 4 - Inequalities, Expressions, and Equations		",https://app.assistments.org/find/lv/lesson/356897/1247951,8.EE.C.7a,"Solve Linear Equations with One, Multiple or No Solutions",choose_1,"<p><img class=""Wirisformula"" style=""max-width: none;"" src=""/pluginwiris_engine/app/showimage?formula=272e07911787c0d62e67cc88410c5820"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;/math&raquo;"" /></p>",78.0,28.0,35.9,No Solution,39.0,All Solutions,11.0,,,One Solution
468318,1943841.0,PRABRJGC,1348471.0,PSABQ8VG,Fluency (A),1.5 Lesson 3 (1.G.A.1),EngageNY/Eureka Math (© by Great Minds®) *,Grade 1,Fluency Support,https://app.assistments.org/find/lv/lesson/364453/1339237,1.OA.D.8,Determine the Unknown Number in Addition or Subtraction Equations,numeric,"<p>6 + 4 = __</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" src=""/images/assistments/462495.jpg"" alt="""" width=""51"" height=""20"" /></p>
<p style=""text-align: right;""><span style=""font-size: 8pt;"">Modified from <a href=""https://www.engageny.org/"" target=""_blank"" rel=""noopener noreferrer"">EngageNY</a> &copy;Great Minds <a href=""https://new.assistments.org/curricula/great-minds"" target=""_blank"" rel=""noopener noreferrer"">Disclaimer</a></span></p>",1.0,1.0,100.0,,,,,,,10
218919,1922903.0,PRABQ58R,1336703.0,PSABPXSR,Student Facing Tasks,"Acc6.3 Lesson 8 Ratios and Rates With Fractions (6.RP.A.3, 6.NS.A.1, 7.RP.A.1, 7.RP.A)",Kendall Hunt Illustrative Mathematics,Grade 6 Accelerated,Unit 3 - Fractions and Decimals,https://app.assistments.org/find/lv/lesson/356714/1300712,6.NS.A.1,Interpret & Compute Division of Fractions,numeric,"<p>Calculate each quotient.</p>
<p><img class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=8a71cbe74e45c27aa3056db0e106f2ec&amp;cw=46&amp;ch=35&amp;cb=23"" width=""46"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;8&laquo;/mn&raquo;&laquo;mn&raquo;9&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;mo&raquo;&sect;#247;&laquo;/mo&raquo;&laquo;mn&raquo;4&laquo;/mn&raquo;&laquo;/math&raquo;"" /></p>
<p>&nbsp;</p>",84.0,37.0,44.0,0.2,7.0,3 5/9,3.0,4 1/2,2.0,2/9
300169,1142979.0,PRA47XX,772323.0,PSAS68V,,Problem 1.3 Raising Money,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329166/473729,,,open_response,<p>Explain.</p>,43.0,0.0,0.0,,,,,,,
90932,230396.0,PRAEA4S,119954.0,PSATE7,,(7.SP.C.8) Counting Methods Skill Builder,Skill Builders,Grade 7,(SP) Statistics and Probability ,https://app.assistments.org/find/lv/lesson/328751/15528,7.SP.C.8a,Understand Probability of a Compound Event,numeric,<p>Randy is going to flip a coin 4 times.&nbsp; How many outcomes are there in which he gets heads a total of 4 times?</p>,78.0,15.0,19.2,8,12.0,16,11.0,4,10.0,1
